"Statistic Label","Year","Type of Ownership","Region","UNIT","VALUE"
"Total Sales of Goods Produced and Services Provided","2000","All Enterprise ownership","Ireland","Euro Million","102972"
"Total Sales of Goods Produced and Services Provided","2000","All Enterprise ownership","Border","Euro Million","3901"
"Total Sales of Goods Produced and Services Provided","2000","All Enterprise ownership","West","Euro Million","5419"
"Total Sales of Goods Produced and Services Provided","2000","All Enterprise ownership","Mid West","Euro Million","16167"
"Total Sales of Goods Produced and Services Provided","2000","All Enterprise ownership","South East","Euro Million","5162"
"Total Sales of Goods Produced and Services Provided","2000","All Enterprise ownership","South West","Euro Million","20687"
"Total Sales of Goods Produced and Services Provided","2000","All Enterprise ownership","Dublin","Euro Million","41938"
"Total Sales of Goods Produced and Services Provided","2000","All Enterprise ownership","Mid East","Euro Million","7630"
"Total Sales of Goods Produced and Services Provided","2000","All Enterprise ownership","Midlands","Euro Million","2067"
"Total Sales of Goods Produced and Services Provided","2000","Irish ownership","Ireland","Euro Million","21924"
"Total Sales of Goods Produced and Services Provided","2000","Irish ownership","Border","Euro Million","2317"
"Total Sales of Goods Produced and Services Provided","2000","Irish ownership","West","Euro Million","1183"
"Total Sales of Goods Produced and Services Provided","2000","Irish ownership","Mid West","Euro Million","1612"
"Total Sales of Goods Produced and Services Provided","2000","Irish ownership","South East","Euro Million","3485"
"Total Sales of Goods Produced and Services Provided","2000","Irish ownership","South West","Euro Million","2683"
"Total Sales of Goods Produced and Services Provided","2000","Irish ownership","Dublin","Euro Million","7012"
"Total Sales of Goods Produced and Services Provided","2000","Irish ownership","Mid East","Euro Million","2552"
"Total Sales of Goods Produced and Services Provided","2000","Irish ownership","Midlands","Euro Million","1080"
"Total Sales of Goods Produced and Services Provided","2000","Foreign ownership","Ireland","Euro Million","81048"
"Total Sales of Goods Produced and Services Provided","2000","Foreign ownership","Border","Euro Million","1584"
"Total Sales of Goods Produced and Services Provided","2000","Foreign ownership","West","Euro Million","4236"
"Total Sales of Goods Produced and Services Provided","2000","Foreign ownership","Mid West","Euro Million","14555"
"Total Sales of Goods Produced and Services Provided","2000","Foreign ownership","South East","Euro Million","1677"
"Total Sales of Goods Produced and Services Provided","2000","Foreign ownership","South West","Euro Million","18003"
"Total Sales of Goods Produced and Services Provided","2000","Foreign ownership","Dublin","Euro Million","34926"
"Total Sales of Goods Produced and Services Provided","2000","Foreign ownership","Mid East","Euro Million","5078"
"Total Sales of Goods Produced and Services Provided","2000","Foreign ownership","Midlands","Euro Million","987"
"Total Sales of Goods Produced and Services Provided","2001","All Enterprise ownership","Ireland","Euro Million","108642"
"Total Sales of Goods Produced and Services Provided","2001","All Enterprise ownership","Border","Euro Million","4118"
"Total Sales of Goods Produced and Services Provided","2001","All Enterprise ownership","West","Euro Million","6268"
"Total Sales of Goods Produced and Services Provided","2001","All Enterprise ownership","Mid West","Euro Million","17720"
"Total Sales of Goods Produced and Services Provided","2001","All Enterprise ownership","South East","Euro Million","5285"
"Total Sales of Goods Produced and Services Provided","2001","All Enterprise ownership","South West","Euro Million","21890"
"Total Sales of Goods Produced and Services Provided","2001","All Enterprise ownership","Dublin","Euro Million","42936"
"Total Sales of Goods Produced and Services Provided","2001","All Enterprise ownership","Mid East","Euro Million","8324"
"Total Sales of Goods Produced and Services Provided","2001","All Enterprise ownership","Midlands","Euro Million","2102"
"Total Sales of Goods Produced and Services Provided","2001","Irish ownership","Ireland","Euro Million","22951"
"Total Sales of Goods Produced and Services Provided","2001","Irish ownership","Border","Euro Million","2414"
"Total Sales of Goods Produced and Services Provided","2001","Irish ownership","West","Euro Million","1451"
"Total Sales of Goods Produced and Services Provided","2001","Irish ownership","Mid West","Euro Million","1572"
"Total Sales of Goods Produced and Services Provided","2001","Irish ownership","South East","Euro Million","3652"
"Total Sales of Goods Produced and Services Provided","2001","Irish ownership","South West","Euro Million","2845"
"Total Sales of Goods Produced and Services Provided","2001","Irish ownership","Dublin","Euro Million","7434"
"Total Sales of Goods Produced and Services Provided","2001","Irish ownership","Mid East","Euro Million","2513"
"Total Sales of Goods Produced and Services Provided","2001","Irish ownership","Midlands","Euro Million","1070"
"Total Sales of Goods Produced and Services Provided","2001","Foreign ownership","Ireland","Euro Million","85691"
"Total Sales of Goods Produced and Services Provided","2001","Foreign ownership","Border","Euro Million","1704"
"Total Sales of Goods Produced and Services Provided","2001","Foreign ownership","West","Euro Million","4817"
"Total Sales of Goods Produced and Services Provided","2001","Foreign ownership","Mid West","Euro Million","16148"
"Total Sales of Goods Produced and Services Provided","2001","Foreign ownership","South East","Euro Million","1633"
"Total Sales of Goods Produced and Services Provided","2001","Foreign ownership","South West","Euro Million","19045"
"Total Sales of Goods Produced and Services Provided","2001","Foreign ownership","Dublin","Euro Million","35502"
"Total Sales of Goods Produced and Services Provided","2001","Foreign ownership","Mid East","Euro Million","5810"
"Total Sales of Goods Produced and Services Provided","2001","Foreign ownership","Midlands","Euro Million","1032"
"Total Sales of Goods Produced and Services Provided","2002","All Enterprise ownership","Ireland","Euro Million","111529"
"Total Sales of Goods Produced and Services Provided","2002","All Enterprise ownership","Border","Euro Million","4190"
"Total Sales of Goods Produced and Services Provided","2002","All Enterprise ownership","West","Euro Million","5413"
"Total Sales of Goods Produced and Services Provided","2002","All Enterprise ownership","Mid West","Euro Million","17243"
"Total Sales of Goods Produced and Services Provided","2002","All Enterprise ownership","South East","Euro Million","4931"
"Total Sales of Goods Produced and Services Provided","2002","All Enterprise ownership","South West","Euro Million","26658"
"Total Sales of Goods Produced and Services Provided","2002","All Enterprise ownership","Dublin","Euro Million","43093"
"Total Sales of Goods Produced and Services Provided","2002","All Enterprise ownership","Mid East","Euro Million","8174"
"Total Sales of Goods Produced and Services Provided","2002","All Enterprise ownership","Midlands","Euro Million","1828"
"Total Sales of Goods Produced and Services Provided","2002","Irish ownership","Ireland","Euro Million","23038"
"Total Sales of Goods Produced and Services Provided","2002","Irish ownership","Border","Euro Million","2570"
"Total Sales of Goods Produced and Services Provided","2002","Irish ownership","West","Euro Million","1413"
"Total Sales of Goods Produced and Services Provided","2002","Irish ownership","Mid West","Euro Million","1401"
"Total Sales of Goods Produced and Services Provided","2002","Irish ownership","South East","Euro Million","3371"
"Total Sales of Goods Produced and Services Provided","2002","Irish ownership","South West","Euro Million","3045"
"Total Sales of Goods Produced and Services Provided","2002","Irish ownership","Dublin","Euro Million","7633"
"Total Sales of Goods Produced and Services Provided","2002","Irish ownership","Mid East","Euro Million","2602"
"Total Sales of Goods Produced and Services Provided","2002","Irish ownership","Midlands","Euro Million","1003"
"Total Sales of Goods Produced and Services Provided","2002","Foreign ownership","Ireland","Euro Million","88491"
"Total Sales of Goods Produced and Services Provided","2002","Foreign ownership","Border","Euro Million","1620"
"Total Sales of Goods Produced and Services Provided","2002","Foreign ownership","West","Euro Million","4000"
"Total Sales of Goods Produced and Services Provided","2002","Foreign ownership","Mid West","Euro Million","15843"
"Total Sales of Goods Produced and Services Provided","2002","Foreign ownership","South East","Euro Million","1560"
"Total Sales of Goods Produced and Services Provided","2002","Foreign ownership","South West","Euro Million","23612"
"Total Sales of Goods Produced and Services Provided","2002","Foreign ownership","Dublin","Euro Million","35460"
"Total Sales of Goods Produced and Services Provided","2002","Foreign ownership","Mid East","Euro Million","5572"
"Total Sales of Goods Produced and Services Provided","2002","Foreign ownership","Midlands","Euro Million","825"
"Total Sales of Goods Produced and Services Provided","2003","All Enterprise ownership","Ireland","Euro Million","111979"
"Total Sales of Goods Produced and Services Provided","2003","All Enterprise ownership","Border","Euro Million","4274"
"Total Sales of Goods Produced and Services Provided","2003","All Enterprise ownership","West","Euro Million","4986"
"Total Sales of Goods Produced and Services Provided","2003","All Enterprise ownership","Mid West","Euro Million","18213"
"Total Sales of Goods Produced and Services Provided","2003","All Enterprise ownership","South East","Euro Million","4751"
"Total Sales of Goods Produced and Services Provided","2003","All Enterprise ownership","South West","Euro Million","26565"
"Total Sales of Goods Produced and Services Provided","2003","All Enterprise ownership","Dublin","Euro Million","44398"
"Total Sales of Goods Produced and Services Provided","2003","All Enterprise ownership","Mid East","Euro Million","6871"
"Total Sales of Goods Produced and Services Provided","2003","All Enterprise ownership","Midlands","Euro Million","1921"
"Total Sales of Goods Produced and Services Provided","2003","Irish ownership","Ireland","Euro Million","22105"
"Total Sales of Goods Produced and Services Provided","2003","Irish ownership","Border","Euro Million","2724"
"Total Sales of Goods Produced and Services Provided","2003","Irish ownership","West","Euro Million","1312"
"Total Sales of Goods Produced and Services Provided","2003","Irish ownership","Mid West","Euro Million","1442"
"Total Sales of Goods Produced and Services Provided","2003","Irish ownership","South East","Euro Million","3093"
"Total Sales of Goods Produced and Services Provided","2003","Irish ownership","South West","Euro Million","2660"
"Total Sales of Goods Produced and Services Provided","2003","Irish ownership","Dublin","Euro Million","7517"
"Total Sales of Goods Produced and Services Provided","2003","Irish ownership","Mid East","Euro Million","2248"
"Total Sales of Goods Produced and Services Provided","2003","Irish ownership","Midlands","Euro Million","1110"
"Total Sales of Goods Produced and Services Provided","2003","Foreign ownership","Ireland","Euro Million","89874"
