observation_date,DEXJPUS
2011-06-01,80.43
2011-07-01,79.24
2011-08-01,76.97
2011-09-01,76.80
2011-10-01,76.64
2011-11-01,77.56
2011-12-01,77.80
2012-01-01,76.96
2012-02-01,78.47
2012-03-01,82.47
2012-04-01,81.25
2012-05-01,79.67
2012-06-01,79.32
2012-07-01,78.93
2012-08-01,78.69
2012-09-01,78.14
2012-10-01,79.01
2012-11-01,81.03
2012-12-01,83.79
2013-01-01,89.06
2013-02-01,93.00
2013-03-01,94.77
2013-04-01,97.76
2013-05-01,100.92
2013-06-01,97.24
2013-07-01,99.67
2013-08-01,97.81
2013-09-01,99.21
2013-10-01,97.77
2013-11-01,100.07
2013-12-01,103.46
2014-01-01,103.76
2014-02-01,102.13
2014-03-01,102.34
2014-04-01,102.46
2014-05-01,101.77
2014-06-01,102.06
2014-07-01,101.74
2014-08-01,102.94
2014-09-01,107.43
2014-10-01,108.03
2014-11-01,116.30
2014-12-01,119.32
2015-01-01,118.25
2015-02-01,118.76
2015-03-01,120.39
2015-04-01,119.51
2015-05-01,120.80
2015-06-01,123.72
2015-07-01,123.31
2015-08-01,123.00
2015-09-01,120.15
2015-10-01,120.05
2015-11-01,122.64
2015-12-01,121.64
2016-01-01,118.23
2016-02-01,114.62
2016-03-01,112.93
2016-04-01,109.55
2016-05-01,108.85
2016-06-01,105.35
2016-07-01,104.19
2016-08-01,101.24
2016-09-01,101.78
2016-10-01,103.91
2016-11-01,108.44
2016-12-01,116.00
2017-01-01,114.87
2017-02-01,112.91
2017-03-01,112.92
2017-04-01,110.09
2017-05-01,112.24
2017-06-01,110.91
2017-07-01,112.42
2017-08-01,109.83
2017-09-01,110.78
2017-10-01,112.91
2017-11-01,112.82
2017-12-01,112.94
2018-01-01,110.87
2018-02-01,107.97
2018-03-01,106.05
2018-04-01,107.66
2018-05-01,109.69
2018-06-01,110.06
2018-07-01,111.52
2018-08-01,111.00
2018-09-01,112.10
2018-10-01,112.72
2018-11-01,113.34
2018-12-01,112.20
2019-01-01,108.96
2019-02-01,110.44
2019-03-01,111.14
2019-04-01,111.64
2019-05-01,109.97
2019-06-01,108.07
2019-07-01,108.29
2019-08-01,106.19
2019-09-01,107.54
2019-10-01,108.14
2019-11-01,108.86
2019-12-01,109.10
2020-01-01,109.27
2020-02-01,110.03
2020-03-01,107.67
2020-04-01,107.74
2020-05-01,107.20
2020-06-01,107.58
2020-07-01,106.68
2020-08-01,106.01
2020-09-01,105.59
2020-10-01,105.21
2020-11-01,104.41
2020-12-01,103.80
2021-01-01,103.79
2021-02-01,105.38
2021-03-01,108.70
2021-04-01,109.04
2021-05-01,109.11
2021-06-01,110.11
