"Statistic Label","Year","Partner Region","Trade Flow","Percentage of Turnover Exported","NACE Rev 2 Activity","UNIT","VALUE"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Agriculture, forestry and fishing (A)","Euro Thousand","34589.334"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Agriculture, Forestry & Fishing, Construction and Services, excluding Retail & Wholesale (A, F, H -U)","Euro Thousand","2303438.271"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Mining and quarrying (B)","Euro Thousand","3193.981"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Industry (B - E)","Euro Thousand","383200.481"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Manufacturing (C)","Euro Thousand","373412.463"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Food products (C10)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Beverages (C11)","Euro Thousand","845.462"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Tobacco products (C12)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Textiles (C13)","Euro Thousand","3412.719"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Wearing apparel (C14)","Euro Thousand","1936.973"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Leather and related products (C15)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Wood and wood products, except furniture (C16)","Euro Thousand","8338.674"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Paper and paper products (C17)","Euro Thousand","5648.055"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Printing and reproduction of recorded media (C18)","Euro Thousand","3536.298"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Coke and refined petroleum products (C19)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Chemicals and chemical products (C20)","Euro Thousand","102659.716"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Basic pharmaceutical products and preparations (C21)","Euro Thousand","56283.258"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Rubber and plastic products (C22)","Euro Thousand","5069.021"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Other non-metallic mineral products (C23)","Euro Thousand",""
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Basic metals (C24)","Euro Thousand","13780.487"
"Value","2020","EU27 countries (from 2020)","Imports","0% Turnover Exported","Fabricated metal products, except machinery and equipment (C25)","Euro Thousand","16094.788"
