CustomerID,LoginsLastMonth,LastLoginDate,RFMScore,UsageChangePct,CompetitorIndex,TicketsOpened,TicketsResolutionTime,ComplaintCategory,FamilyPlan,AddOnBundle,SupportChannelPreferred,MonthlyValue
1148,27.0,2025-09-22,3.0,0.395954069,0.596940279,6,63.61405216,Technical,Yes,Movies,Email,805.18 EUR
4097,67.0,2025-06-25,13.0,-0.759668545,0.592671872,12,26.74771747,Technical,Yes,Sports,Chat,678.69
8238,21.0,2025-09-16,10.0,-0.815715051,0.109671097,18,10.31004437,Technical,Yes,Movies,App,396.63 EUR
32449,67.0,2025-06-23,6.0,0.729624098,0.94678615,8,42.1879646,Technical,Yes,Kids,Chat,713.13
37330,31.0,2025-09-20,1.0,0.424351658,0.500805365,3,49.03512826,Retention,No,Movies,Phone, 316.47 
48071,51.0,2025-09-28,9.0,0.392930209,0.280059382,9,7.910171312,Technical,No,Movies,Email,158.32
40565,43.0,2025-10-02,12.0,-0.913213137,0.845903097,18,36.09102806,Billing,No,Movies,Chat,1363.41
31382,51.0,2025-09-29,14.0,0.57221294,0.232224156,8,36.57629371,Technical,No,WorkFromHome,Phone,619.6
48874,99.0,2025-09-29,8.0,0.974874686,0.600354037,1,43.52700841,Technical,No,Movies,Email,100.68
4086,15.0,2025-08-11,14.0,0.100870436,0.894440034,10,47.03734122,Technical,No,Security,Chat,989.94
11577,99.0,2025-09-28,14.0,0.678645897,0.639038071,16,46.26842003,Technical,No,Movies,App,1552.28
7579,2.0,2025-06-21,9.0,-0.115131003,0.977770428,14,42.028349,,Yes,Movies,Phone,1235.83
38922,73.0,2025-09-28,8.0,0.571701331,0.031779481,1,39.89095742,Technical,Yes,Movies,Phone,€ 93.11
40140,67.0,2025-09-30,3.0,0.01554268,0.901197336,12,71.05821848,Technical,No,Movies,Email,"1,786.46"
31205,51.0,2025-03-14,13.0,-0.588782175,0.958327089,2,15.4100652,Technical,No,WorkFromHome,Phone,74.21
559,52.0,2025-10-02,4.0,-0.810057828,0.164346061,3,63.6686792,Technical,No,Sports,Email,407.93
44608,28.0,2025-09-22,8.0,-0.268676952,0.919594857,13,38.5645008,Technical,No,Gamer,Email,1054.46
18401,2.0,2025-06-13,3.0,-0.979341118,0.693472945,13,27.7722172,Technical,No,Kids,Chat,762.16
17301,4.0,2025-08-17,2.0,0.649833911,0.893699439,17,44.72544204,Technical,No,Movies,Phone,1594.03
47894,13.0,2025-07-15,6.0,0.310449104,0.856892537,5,51.56804979,Technical,No,Movies,Phone,€ 547.17
2722,16.0,2025-07-20,14.0,0.833345067,0.780119213,3,44.24031762,Technical,Yes,Gamer,Email,286.5
16892,62.0,2025-05-17,8.0,-0.271423511,0.358912904,3,52.21958216,Service,No,Sports,Email,336.37
45922,87.0,2025-09-26,13.0,-0.076513893,0.178683587,17,51.10564563,Technical,No,Movies,Chat,1819.99
17065,32.0,2025-05-19,9.0,-0.597803909,0.583967579,8,54.36073311,Technical,No,Movies,App,916.01
30415,39.0,2025-08-28,5.0,-0.327834209,0.901029214,2,36.96376304,Technical,Yes,Movies,Email,164.02
40976,11.0,2025-08-12,8.0,-0.812301312,0.64498022,3,42.15729993,Billing,Yes,Movies,Phone,273.48
