CustomerID,Churn,Age,Gender,Region,Education,CustomerSegment,ContractLength,ContractStartDate,PlanType,TenureMonths,MonthlyValue,PaymentMethod,PaymentDelinquencyStatus,IncomeTier,AutoPay
1148,0,49.0,Male,East,PhD,Bronze,Month-to-month,2024-12-16,Ultra,28.0,161.59,,Current,Low,Yes
4097,1,72.0,Male,North,Diploma,Silver,Month-to-month,2025-06-24,Premium,9.0,117.18,Electronic Check,30+,High,Yes
8238,0,50.0,Male,East,High School,Silver,3-Year,2025-08-08,Basic,5.0,30.17,Crypto,30+,Low,Yes
32449,1,67.0,Male,North ,Diploma,Platinum,Month to month,2023-10-12,Basic,69.0,198.49,Bank Transfer,30+,Very High,Yes
37330,0,27.0,Female,West,Bachelors,Bronze,2-year,2016-08-07,Ultra,320.7256736,105.165,Bank Transfer,Current,High,Yes
48071,0,59.0,Female,North,Diploma,Silver,One year,2023-12-09,Basic,64.0,95.66,Bank Transfer,30+,High,No
40565,0,63.0,Female ,South,High School,Diamond,Two year,2023-10-30,BASIC,68.0,€72.55,,Current,Very High,Yes
31382,0,27.0,Male,east,High-School,Silver,One year,2023-04-24,STANDARD,85.0,156.6,,Current,High,Yes
48874,0,45.0,Male,South,Masters,Platinum,MTM,2022-07-20,Premium,112.0,20.78,Electronic Check,Current,Very High,No
4086,0,20.0,F,North,High School,Silver,3-year,2023-12-22,Ultra Plan,62.0, 47.77 ,cash,Current,High,No
11577,0,26.0,Male,East ,Masters,Platinum,2 year,2022-06-06,Standard,117.0,105.17,Bank Transfer,Current,Very High,Yes
7579,0,49.0,Female,West,Diploma,Gold,Two year,2023-12-08,Ultra,63.0,191.74,,Current,Low,Yes
38922,0,71.0,Female ,South,Diploma,Silver,3-Year,2024-08-06,Premium,40.0,$156.34,cash,Current,Low,Yes
40140,0,39.0,Female,South,PhD,Silver,Two year,2025-01-29,Basic,24.0,74.39,,Current,High,Yes
31205,1,62.0,Male,North,High-School,Diamond,Month-to-month,2023-10-18,STANDARD,69.0,138.48,PayPal,Current,Low,Yes
559,0,23.0,MALE,West,PhD,Gold,Month-to-month,2024-09-16,STANDARD,37.0,$105.17,Electronic Check,Current,Low,Yes
44608,0,50.0,Male,South,Bachelors,Bronze,Two year,2023-07-24,Ultra,77.0,$106.52,cash,Current,Very High,Yes
18401,0,76.0,Male,Central,Diploma,Silver,3-Year,2024-09-11,STANDARD,37.0,€79.98,cash,Current,High,Yes
17301,0,40.0,female,West,Diploma,Bronze,One year,2024-03-08,Basic,55.0,32.13,PayPal,Current,Low,No
47894,1,73.0,Male,North,High School,Bronze,3-Year,2023-01-18,STANDARD,95.0,79.23,Electronic Check,Current,High,No
2722,1,49.0,Female,South,Diploma,Silver,Month-to-month,2023-11-22,Basic,65.0,105.165,Crypto,60+,Medium,Yes
16892,1,36.0,M,Central,Bachelors,Bronze,3-Year,2022-09-06,Standard,108.0,11741.0,,Current,High,Yes
45922,0,77.0, Female,East,Diploma,Silver,Month-to-month,2024-08-24,Basic,39.0,€157.01,Credit Card,Current,Medium,No
17065,1,41.0,Female,East,DIPLOMA,Bronze,One year,2024-08-13,Standard,40.0,67.9,Electronic Check,30+,High,Yes
30415,0,20.0,Female,West,Diploma,Bronze,Month-to-month,2024-06-20,basic,45.0, 14.73 ,Crypto,60+,Very High,No
40976,0,20.0,Male,Central,Diploma,Gold,Two year,2022-12-21,Standard,97.0,24.96,Bank Transfer,Current,High,no 
14807,0,78.0,Male,East,PhD,Gold,Two year,2022-05-24,Basic,118.0,€35.58,PayPal,Current,Low,Yes
23983,0,43.0,Male,South,PhD,Bronze,One year,2022-07-31,STANDARD,111.0,169.71,Electronic Check,Current,High,No
