Transaction_ID,Items
1,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Chicken, Wine"
2,"Pasta, Diapers, Rice, Chicken, Wine"
3,"Pasta, Diapers, Beef, Cheese, Chicken, Wine"
4,"Pasta, Wine, Chicken"
5,"Pasta, Diapers, Beef, Cheese, Chicken, Wine"
6,"Apple, Milk, Pasta, Diapers, Rice, Cheese, Wine"
7,"Pasta, Apple, Wine"
8,"Milk, Diapers, Rice, Beef, Wine, Bread"
9,"Pasta, Milk, Wine"
10,"Pasta, Wine"
11,"Pasta, Rice, Bread, Wine"
12,"Apple, Pasta, Diapers, Rice, Beef, Chicken, Wine"
13,"Pasta, Rice, Wine"
14,"Apple, Pasta, Rice, Beef, Wine"
15,"Pasta, Rice, Beef, Chicken, Wine"
16,"Apple, Pasta, Bread, Diapers, Rice, Cheese, Wine"
17,"Apple, Milk, Pasta, Bread, Rice, Beef, Cheese, Chicken, Wine"
18,"Pasta, Diapers, Rice, Cheese, Chicken, Wine"
19,"Pasta, Bread, Wine, Beef"
20,"Pasta, Wine, Chicken"
21,"Pasta, Diapers, Wine, Chicken"
22,"Pasta, Wine, Beef, Chicken"
23,"Pasta, Wine, Chicken"
24,"Pasta, Wine"
25,"Apple, Milk, Pasta, Diapers, Rice, Beef, Wine, Chicken, Bread"
26,"Pasta, Bread, Diapers, Rice, Cheese, Chicken, Wine"
27,"Milk, Pasta, Diapers, Rice, Wine"
28,"Milk, Pasta, Diapers, Cheese, Wine"
29,"Milk, Pasta, Wine, Chicken, Bread"
30,"Apple, Milk, Pasta, Bread, Diapers, Rice, Cheese, Chicken, Wine"
31,"Milk, Pasta, Rice, Beef, Wine, Cheese, Bread"
32,"Apple, Pasta, Diapers, Rice, Beef, Cheese, Chicken, Wine"
33,"Pasta, Bread, Wine"
34,
35,"Pasta, Diapers, Wine"
36,"Pasta, Wine, Beef"
37,"Apple, Pasta, Bread, Diapers, Rice, Beef, Chicken, Wine"
38,"Pasta, Milk, Wine, Chicken"
39,"Pasta, Apple, Wine"
40,"Milk, Pasta, Rice, Beef, Wine, Cheese, Bread"
41,"Milk, Pasta, Bread, Diapers, Rice, Cheese, Wine"
42,"Pasta, Diapers, Rice, Beef, Wine, Chicken, Bread"
43,"Pasta, Wine"
44,"Pasta, Diapers, Rice, Beef, Wine"
45,"Apple, Pasta, Beef, Wine, Cheese, Chicken, Bread"
46,"Pasta, Wine"
47,"Milk, Pasta"
48,"Apple, Pasta, Diapers, Beef, Cheese, Chicken, Wine"
49,"Apple, Milk, Pasta, Diapers, Rice, Cheese, Chicken, Wine"
50,"Apple, Milk, Pasta, Diapers, Rice, Cheese, Wine"
51,"Apple, Milk, Pasta, Wine, Chicken, Bread"
52,"Pasta, Wine"
53,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Cheese, Wine"
54,"Milk, Pasta, Diapers, Beef, Wine, Cheese, Chicken, Bread"
55,"Apple, Pasta, Diapers, Beef, Cheese, Chicken, Bread"
56,"Milk, Pasta, Bread, Diapers, Beef, Cheese, Wine"
57,"Pasta, Milk, Wine, Diapers"
58,"Pasta, Rice, Wine, Chicken"
59,"Pasta, Rice, Wine, Cheese, Chicken, Bread"
60,"Pasta, Rice, Bread, Wine"
61,"Milk, Pasta, Diapers, Wine, Chicken, Bread"
62,"Pasta, Wine"
63,"Apple, Diapers, Rice, Beef, Wine, Cheese, Chicken, Bread"
64,"Apple, Rice, Cheese, Beef"
65,"Pasta, Wine"
66,"Milk, Pasta, Bread, Diapers, Beef, Cheese, Wine"
67,"Pasta, Wine"
68,"Milk, Pasta, Bread, Diapers, Rice, Beef, Cheese, Chicken, Wine"
69,"Apple, Milk, Pasta, Diapers, Rice, Beef, Cheese, Chicken, Wine"
70,"Milk, Diapers, Cheese, Chicken, Wine"
71,"Pasta, Wine, Chicken"
72,"Milk, Pasta, Diapers, Rice, Cheese, Wine"
73,"Apple, Pasta, Diapers, Rice, Cheese, Wine"
74,"Pasta, Diapers, Wine, Chicken"
75,"Apple, Pasta, Beef, Cheese, Chicken, Wine"
76,"Pasta, Wine"
77,"Cheese, Chicken"
78,"Pasta, Cheese, Wine, Beef"
79,"Rice, Milk, Bread, Cheese"
80,"Pasta, Apple, Diapers, Wine"
81,"Milk, Pasta, Bread, Rice, Beef, Cheese, Chicken, Wine"
82,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Chicken, Wine"
83,"Beef, Chicken"
84,"Pasta, Wine, Cheese"
85,"Pasta, Diapers, Wine"
86,"Pasta, Wine, Beef"
87,"Pasta, Rice, Wine, Chicken, Bread"
88,"Apple, Milk, Pasta, Bread, Rice, Beef, Cheese, Wine"
89,"Pasta, Wine, Cheese, Chicken"
90,"Apple, Pasta, Bread, Diapers, Rice, Beef, Cheese, Chicken, Wine"
91,"Apple, Milk, Pasta, Diapers, Rice, Cheese, Bread"
92,"Pasta, Wine, Cheese, Chicken, Bread"
93,"Rice, Milk, Bread, Cheese"
94,"Pasta, Bread, Wine, Beef"
95,"Apple, Pasta, Diapers, Rice, Beef, Cheese, Wine"
96,"Pasta, Milk, Wine"
97,"Apple, Pasta, Bread, Diapers, Rice, Chicken, Wine"
98,"Apple, Milk, Pasta, Beef, Cheese, Wine"
99,"Pasta, Diapers, Wine, Chicken"
100,"Apple, Milk, Pasta, Bread, Beef, Cheese, Chicken, Wine"
101,"Apple, Milk, Pasta, Bread, Diapers, Cheese, Wine"
102,"Pasta, Milk, Wine, Beef"
103,"Apple, Milk, Pasta, Diapers, Rice, Wine, Cheese, Bread"
104,"Apple, Milk, Pasta, Diapers, Wine, Bread"
105,"Pasta, Diapers, Beef, Chicken, Wine"
106,"Pasta, Apple, Wine"
107,"Apple, Milk, Pasta, Bread, Diapers, Beef, Cheese, Chicken, Wine"
108,"Pasta, Diapers, Rice, Cheese, Chicken, Wine"
109,"Apple, Pasta, Diapers, Chicken, Wine"
110,"Apple, Pasta, Diapers, Rice, Cheese, Wine"
111,"Pasta, Apple, Milk, Wine"
112,"Apple, Milk, Pasta, Wine, Cheese, Chicken, Bread"
113,"Pasta, Wine"
114,"Pasta, Wine, Cheese"
115,
116,"Pasta, Wine"
117,"Apple, Pasta, Diapers, Wine, Bread"
118,"Pasta, Wine"
119,"Pasta, Diapers, Wine, Bread"
120,"Apple, Milk, Pasta, Diapers, Rice, Wine, Cheese, Bread"
121,"Pasta, Wine, Chicken"
122,"Apple, Diapers, Chicken"
123,"Apple, Pasta, Diapers, Cheese, Chicken, Wine"
124,"Apple, Milk, Pasta, Diapers, Wine, Cheese, Chicken, Bread"
125,"Apple, Milk, Pasta, Diapers, Wine, Bread"
126,"Apple, Pasta, Rice, Wine, Cheese, Chicken, Bread"
127,"Pasta, Wine"
128,"Apple, Milk, Pasta, Diapers, Beef, Wine, Cheese, Chicken, Bread"
129,"Pasta, Diapers, Beef, Cheese, Chicken, Wine"
130,"Milk, Pasta, Diapers, Beef, Wine"
131,"Milk, Pasta, Rice, Cheese, Wine"
132,"Apple, Milk, Pasta, Bread, Diapers, Rice, Cheese, Chicken, Wine"
133,"Pasta, Diapers, Wine, Cheese, Bread"
134,"Pasta, Rice, Wine"
135,"Apple, Pasta, Rice, Wine, Bread"
136,"Pasta, Diapers, Rice, Wine, Chicken, Bread"
137,"Apple, Pasta, Rice, Beef, Cheese, Chicken, Wine"
138,"Apple, Pasta, Bread, Rice, Cheese, Wine"
139,"Milk, Pasta, Diapers, Beef, Wine, Bread"
140,"Apple, Pasta, Bread, Diapers, Rice, Beef, Cheese, Wine"
141,"Pasta, Diapers, Rice, Beef, Wine"
142,"Milk, Pasta, Diapers, Beef, Chicken, Wine"
143,"Pasta, Rice, Wine"
144,"Apple, Diapers, Rice, Wine"
145,"Pasta, Milk, Wine"
146,"Milk, Pasta, Diapers, Rice, Beef, Chicken, Wine"
147,"Apple, Pasta, Cheese, Chicken, Wine"
148,"Pasta, Wine"
149,"Milk, Pasta, Rice, Cheese, Chicken, Wine"
150,"Apple, Milk, Pasta, Bread, Rice, Chicken, Wine"
151,"Pasta, Diapers, Wine, Cheese, Chicken, Bread"
152,"Pasta, Rice, Wine, Cheese"
153,"Apple, Pasta, Bread, Diapers, Rice, Beef, Cheese, Wine"
154,"Cheese, Chicken"
155,"Milk, Pasta, Bread, Diapers, Chicken, Wine"
156,Beef
157,"Pasta, Wine, Cheese"
158,"Diapers, Rice, Beef, Milk"
159,"Pasta, Wine"
160,"Milk, Pasta, Bread, Rice, Beef, Cheese, Chicken, Wine"
161,"Pasta, Cheese, Wine, Beef"
162,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Cheese, Chicken, Wine"
163,Bread
164,"Apple, Beef, Chicken"
165,"Pasta, Apple, Wine"
166,"Apple, Pasta, Bread, Rice, Beef, Cheese, Wine"
167,"Pasta, Diapers, Rice, Beef, Wine, Bread"
168,"Pasta, Milk, Wine"
169,"Apple, Pasta, Rice, Beef, Chicken, Wine"
170,"Pasta, Wine"
171,"Pasta, Wine"
172,"Apple, Milk, Pasta, Beef, Wine"
173,"Apple, Milk, Pasta, Diapers, Wine, Cheese, Bread"
174,"Pasta, Rice, Wine, Cheese, Bread"
175,"Apple, Milk, Chicken"
176,"Milk, Pasta, Diapers, Rice, Beef, Wine"
177,"Apple, Pasta, Bread, Diapers, Rice, Beef, Chicken, Wine"
178,Beef
179,"Apple, Milk, Pasta, Bread, Diapers, Rice, Beef, Chicken, Wine"
180,"Pasta, Wine"
181,"Pasta, Bread, Diapers, Rice, Cheese, Chicken, Wine"
182,"Pasta, Wine"
183,"Pasta, Diapers, Rice, Cheese, Wine"
184,"Apple, Milk, Pasta, Diapers, Beef, Chicken, Wine"
185,"Milk, Pasta, Bread, Diapers, Beef, Wine"
186,"Milk, Pasta, Rice, Wine, Bread"
187,"Apple, Pasta, Cheese"
188,"Milk, Diapers, Rice, Cheese, Chicken, Wine"
189,"Pasta, Diapers, Beef, Chicken, Wine"
190,"Pasta, Apple, Wine, Chicken"
191,"Pasta, Apple, Milk, Wine"
192,"Apple, Milk, Pasta, Diapers, Rice, Beef, Chicken, Wine"
193,"Pasta, Diapers, Wine, Beef"
194,"Pasta, Rice, Milk, Wine"
195,"Pasta, Apple, Wine"
196,"Pasta, Apple, Bread, Wine"
197,"Rice, Wine"
